experiment_id,learning_rate,epochs,country,pc1_score
exp_010,0.001,500,Spain,-0.16382849413482448
exp_010,0.001,500,Czech Republic,-0.16727554715546444
exp_010,0.001,500,Finland,-0.21043814114851842
exp_010,0.001,500,United Kingdom,-0.34084100699404385
exp_010,0.001,500,Germany,-0.5921638053346221
exp_010,0.001,500,Belgium,-0.6810509662867547
exp_010,0.001,500,Italy,-0.8532032427202221
exp_010,0.001,500,Sweden,-0.884812349294883
exp_010,0.001,500,Denmark,-0.9551623221519914
exp_010,0.001,500,Austria,-1.0814611021076146
exp_010,0.001,500,Iceland,-1.5833553222772265
exp_010,0.001,500,Ireland,-1.809079950105096
exp_010,0.001,500,Netherlands,-1.8400946214316214
exp_010,0.001,500,Norway,-2.106374833599311
exp_010,0.001,500,Switzerland,-3.281651027702105
exp_010,0.001,500,Luxembourg,-3.4781796592843155
exp_011,0.001,1000,Ukraine,4.580804154287741
exp_011,0.001,1000,Bulgaria,2.6097913763293703
exp_011,0.001,1000,Estonia,2.487682788253107
exp_011,0.001,1000,Latvia,2.3060782565860385
exp_011,0.001,1000,Lithuania,1.5300670252232367
exp_011,0.001,1000,Poland,1.471811743472116
exp_011,0.001,1000,Hungary,1.3968577555840787
exp_011,0.001,1000,Croatia,1.269818599550358
exp_011,0.001,1000,Greece,1.0000125489017408
exp_011,0.001,1000,Slovakia,0.7829354399730273
exp_011,0.001,1000,Portugal,0.5263321729183134
exp_011,0.001,1000,Slovenia,0.06735088469745099
exp_011,0.001,1000,Spain,-0.16378303720553933
exp_011,0.001,1000,Czech Republic,-0.16725474751025782
exp_011,0.001,1000,Finland,-0.21048618144875264
exp_011,0.001,1000,United Kingdom,-0.3408182968888759
exp_011,0.001,1000,Germany,-0.5922637903996291
exp_011,0.001,1000,Belgium,-0.6810787059862832
exp_011,0.001,1000,Italy,-0.8532018900166414
exp_011,0.001,1000,Sweden,-0.8849311829271136
exp_011,0.001,1000,Denmark,-0.9551801334696859
exp_011,0.001,1000,Austria,-1.0815960218710194
exp_011,0.001,1000,Iceland,-1.5835156048520416
exp_011,0.001,1000,Ireland,-1.8090038050399422
exp_011,0.001,1000,Netherlands,-1.8400792970562279
exp_011,0.001,1000,Norway,-2.106430059843497
exp_011,0.001,1000,Switzerland,-3.2816216428945886
exp_011,0.001,1000,Luxembourg,-3.4782983483664114
exp_012,0.001,3000,Ukraine,4.580765924442659
exp_012,0.001,3000,Bulgaria,2.609797873900016
exp_012,0.001,3000,Estonia,2.487686792240104
exp_012,0.001,3000,Latvia,2.3060771667569324
exp_012,0.001,3000,Lithuania,1.5300694299889788
exp_012,0.001,3000,Poland,1.4718088577395454
exp_012,0.001,3000,Hungary,1.3968608195919228
exp_012,0.001,3000,Croatia,1.269842023791804
exp_012,0.001,3000,Greece,1.000044956463117
exp_012,0.001,3000,Slovakia,0.7829377257136962
exp_012,0.001,3000,Portugal,0.5263436247438591
exp_012,0.001,3000,Slovenia,0.06736471382247833
exp_012,0.001,3000,Spain,-0.16378284676975985
exp_012,0.001,3000,Czech Republic,-0.16725135049129858
exp_012,0.001,3000,Finland,-0.2104918415494641
exp_012,0.001,3000,United Kingdom,-0.3408184838306819
exp_012,0.001,3000,Germany,-0.5922731887553832
exp_012,0.001,3000,Belgium,-0.6810795670244636
exp_012,0.001,3000,Italy,-0.8532037066023482
exp_012,0.001,3000,Sweden,-0.8849439451833412
exp_012,0.001,3000,Denmark,-0.955180641018245
exp_012,0.001,3000,Austria,-1.0816065469789693
exp_012,0.001,3000,Iceland,-1.5835300519371873
exp_012,0.001,3000,Ireland,-1.8089978432018485
exp_012,0.001,3000,Netherlands,-1.8400772292892866
exp_012,0.001,3000,Norway,-2.1064359061122606
exp_012,0.001,3000,Switzerland,-3.281618910453888
exp_012,0.001,3000,Luxembourg,-3.478307849996615
exp_013,0.01,25,Ukraine,4.520400750051554
exp_013,0.01,25,Bulgaria,2.64566011753523
exp_013,0.01,25,Estonia,2.4992546428462306
exp_013,0.01,25,Latvia,2.319304099082261
exp_013,0.01,25,Lithuania,1.5297610983374532
