experiment_id,learning_rate,epochs,feature,pc1_weight,abs_weight
exp_005,0.0001,1000,Life.expect,-0.159103533665301,0.159103533665301
exp_005,0.0001,1000,Unemployment,0.13287494389727678,0.13287494389727678
exp_006,0.0001,3000,Pop.growth,-0.5374107202785072,0.5374107202785072
exp_006,0.0001,3000,GDP,-0.5038050540788225,0.5038050540788225
exp_006,0.0001,3000,Military,-0.4401490949078624,0.4401490949078624
exp_006,0.0001,3000,Inflation,0.43657542105469765,0.43657542105469765
exp_006,0.0001,3000,Area,0.16963876584489995,0.16963876584489995
exp_006,0.0001,3000,Life.expect,-0.16245473839048968,0.16245473839048968
exp_006,0.0001,3000,Unemployment,0.13368623075758632,0.13368623075758632
exp_007,0.001,25,Pop.growth,-0.5396001983765583,0.5396001983765583
exp_007,0.001,25,GDP,-0.5159419588422063,0.5159419588422063
exp_007,0.001,25,Inflation,0.4522069656658827,0.4522069656658827
exp_007,0.001,25,Military,-0.3542924782685908,0.3542924782685908
exp_007,0.001,25,Life.expect,-0.2443011889890877,0.2443011889890877
exp_007,0.001,25,Area,0.17077144210536982,0.17077144210536982
exp_007,0.001,25,Unemployment,0.15419229774334292,0.15419229774334292
exp_008,0.001,50,GDP,-0.5122165183253106,0.5122165183253106
exp_008,0.001,50,Pop.growth,-0.5007046767760183,0.5007046767760183
exp_008,0.001,50,Life.expect,-0.4624469484528214,0.4624469484528214
exp_008,0.001,50,Inflation,0.4443353402005161,0.4443353402005161
exp_008,0.001,50,Unemployment,0.23051051417400248,0.23051051417400248
exp_008,0.001,50,Area,0.14781874519499205,0.14781874519499205
exp_008,0.001,50,Military,0.02554430952482677,0.02554430952482677
exp_009,0.001,100,GDP,-0.5001968230143271,0.5001968230143271
exp_009,0.001,100,Life.expect,-0.48567202989877806,0.48567202989877806
exp_009,0.001,100,Pop.growth,-0.4776092876338184,0.4776092876338184
exp_009,0.001,100,Inflation,0.4137461370483526,0.4137461370483526
exp_009,0.001,100,Unemployment,0.26382804130861476,0.26382804130861476
exp_009,0.001,100,Military,0.1687541968034921,0.1687541968034921
exp_009,0.001,100,Area,0.12863166695773215,0.12863166695773215
exp_010,0.001,500,GDP,-0.5004541891408012,0.5004541891408012
exp_010,0.001,500,Life.expect,-0.4829135987797102,0.4829135987797102
exp_010,0.001,500,Pop.growth,-0.4757185992994702,0.4757185992994702
exp_010,0.001,500,Inflation,0.4066363479954154,0.4066363479954154
exp_010,0.001,500,Unemployment,0.2715211720512624,0.2715211720512624
exp_010,0.001,500,Military,0.1879555076884357,0.1879555076884357
exp_010,0.001,500,Area,0.12501094236923851,0.12501094236923851
exp_011,0.001,1000,GDP,-0.5004810816538903,0.5004810816538903
exp_011,0.001,1000,Life.expect,-0.48289631348290873,0.48289631348290873
exp_011,0.001,1000,Pop.growth,-0.4757042095983156,0.4757042095983156
exp_011,0.001,1000,Inflation,0.40658538060416904,0.40658538060416904
exp_011,0.001,1000,Unemployment,0.2715792051653101,0.2715792051653101
exp_011,0.001,1000,Military,0.1880265903072037,0.1880265903072037
exp_011,0.001,1000,Area,0.12495762177553953,0.12495762177553953
exp_012,0.001,3000,GDP,-0.500482852075008,0.500482852075008
exp_012,0.001,3000,Life.expect,-0.48289476030022377,0.48289476030022377
exp_012,0.001,3000,Pop.growth,-0.47570419809233633,0.47570419809233633
exp_012,0.001,3000,Inflation,0.4065806226177223,0.4065806226177223
exp_012,0.001,3000,Unemployment,0.271584499827666,0.271584499827666
exp_012,0.001,3000,Military,0.1880326329036867,0.1880326329036867
exp_012,0.001,3000,Area,0.12495145817169012,0.12495145817169012
exp_013,0.01,25,GDP,-0.5056129172614388,0.5056129172614388
exp_013,0.01,25,Pop.growth,-0.49479975313760544,0.49479975313760544
exp_013,0.01,25,Life.expect,-0.48100824457672764,0.48100824457672764
exp_013,0.01,25,Inflation,0.38671420340752627,0.38671420340752627
exp_013,0.01,25,Unemployment,0.262282014237611,0.262282014237611
exp_013,0.01,25,Military,0.19164296178773943,0.19164296178773943
exp_013,0.01,25,Area,0.1144250668783915,0.1144250668783915
exp_014,0.01,50,GDP,-0.5004515898282957,0.5004515898282957
exp_014,0.01,50,Pop.growth,-0.4865856858865587,0.4865856858865587
exp_014,0.01,50,Life.expect,-0.47575850236513073,0.47575850236513073
exp_014,0.01,50,Inflation,0.40617506199375236,0.40617506199375236
exp_014,0.01,50,Unemployment,0.2692696732376033,0.2692696732376033
exp_014,0.01,50,Military,0.1879978899378269,0.1879978899378269
exp_014,0.01,50,Area,0.11665710190012893,0.11665710190012893
exp_015,0.01,100,GDP,-0.49394905131846345,0.49394905131846345
exp_015,0.01,100,Life.expect,-0.48452799211187797,0.48452799211187797
exp_015,0.01,100,Pop.growth,-0.47348115287992837,0.47348115287992837
exp_015,0.01,100,Inflation,0.41930308571671243,0.41930308571671243
exp_015,0.01,100,Unemployment,0.272407236007771,0.272407236007771
exp_015,0.01,100,Military,0.18160583526450133,0.18160583526450133
exp_015,0.01,100,Area,0.11857950120509188,0.11857950120509188
exp_016,0.01,500,GDP,-0.500174349219156,0.500174349219156
exp_016,0.01,500,Life.expect,-0.48308193929120197,0.48308193929120197
exp_016,0.01,500,Pop.growth,-0.47560170889321,0.47560170889321
exp_016,0.01,500,Inflation,0.4072206179896773,0.4072206179896773
